"Código Régimen","Código Departamento","Código Localidad","Padrón","Block/Manzana","EP/SS","Unidad","Área predio","Área edificada","Valor catastral terreno","Valor catastral mejoras","Valor catastral total","Valor para impuestos","Fecha última DJCU","Vigencia última DJCU"
"CO","B","EH",798,"","",0,504,160,52256,1778377,1830633,1830633,"30/01/2016","30/01/2021"
"CO","B","EH",799,"","",0,504,0,52256,0,52256,52256,"/  /","/  /"
"CO","B","EH",800,"","",0,7700,0,508046,0,508046,508046,"/  /","/  /"
"CO","B","EH",801,"","",0,562,269,58275,3134602,3192877,1312114,"24/08/2023","24/08/2028"
"CO","B","EH",804,"","",0,420,108,43543,837315,880858,545932,"16/02/2022","16/02/2027"
"CO","B","EH",805,"","",0,420,0,35634,0,35634,35634,"/  /","/  /"
"CO","B","EH",806,"","",0,600,0,62215,0,62215,62215,"/  /","/  /"
"CO","B","EH",807,"","",0,511,0,57808,0,57808,57808,"/  /","/  /"
"CO","B","EH",808,"","",0,532,0,55152,0,55152,55152,"/  /","/  /"
"CO","B","EH",809,"","",0,555,195,57552,1895093,1952645,1952645,"27/08/2014","27/08/2019"
"CO","B","EH",811,"","",0,528,0,34840,0,34840,34840,"/  /","/  /"
"CO","B","EH",812,"","",0,479,0,31601,0,31601,31601,"/  /","/  /"
"CO","B","EH",813,"","",0,536,135,45471,1641292,1686763,1686763,"10/07/2020","10/07/2025"
"CO","B","EH",814,"","",0,480,164,40718,2902328,2943046,2943046,"06/05/2007","06/05/2012"
"CO","B","EH",815,"","",0,480,162,49765,2337809,2387574,2387574,"17/05/2016","17/05/2021"
"CO","B","EH",816,"","",0,475,0,49259,0,49259,49259,"/  /","/  /"
"CO","B","EH",817,"","",0,572,0,37734,0,37734,37734,"/  /","/  /"
"CO","B","EH",818,"","",0,420,0,47503,0,47503,47503,"/  /","/  /"
"CO","B","EH",819,"","",0,420,175,43543,1871590,1915133,1166497,"13/01/2022","13/01/2027"
"CO","B","EH",820,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",821,"","",0,415,0,43028,0,43028,43028,"/  /","/  /"
"CO","B","EH",822,"","",0,445,115,37751,1146964,1184715,1184715,"22/06/2017","22/06/2022"
"CO","B","EH",823,"","",0,482,0,40890,0,40890,40890,"23/12/2004","23/12/2009"
"CO","B","EH",824,"","",0,573,0,48613,0,48613,48613,"/  /","/  /"
"CO","B","EH",825,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",826,"","",0,600,0,45243,0,45243,45243,"07/11/2005","07/11/2010"
"CO","B","EH",827,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",828,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",829,"","",0,600,87,45243,560932,606175,493988,"01/03/2021","01/03/2026"
"CO","B","EH",830,"","",0,420,107,43543,1130455,1173998,1173998,"20/04/2012","20/04/2017"
"CO","B","EH",831,"","",0,420,0,43543,0,43543,43543,"/  /","/  /"
"CO","B","EH",832,"","",0,504,0,42740,0,42740,42740,"/  /","/  /"
"CO","B","EH",833,"","",0,504,198,42740,2079603,2122343,2122343,"06/02/2009","06/02/2014"
"CO","B","EH",834,"","",0,504,0,42740,0,42740,42740,"/  /","/  /"
"CO","B","EH",835,"","",0,504,0,42740,0,42740,42740,"/  /","/  /"
"CO","B","EH",836,"","",0,504,0,52256,0,52256,52256,"/  /","/  /"
"CO","B","EH",837,"","",0,420,140,43543,1324524,1368067,1368067,"21/07/2020","21/07/2025"
"CO","B","EH",838,"","",0,420,159,43543,1411672,1455215,1455215,"02/10/2006","02/10/2011"
"CO","B","EH",841,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",842,"","",0,420,0,43543,0,43543,43543,"10/04/2023","10/04/2028"
"CO","B","EH",843,"","",0,420,112,43543,1052380,1095923,1095923,"23/10/2008","23/10/2013"
"CO","B","EH",844,"","",0,504,0,42740,0,42740,42740,"/  /","/  /"
"CO","B","EH",845,"","",0,504,0,42740,0,42740,42740,"21/03/2023","21/03/2028"
"CO","B","EH",846,"","",0,504,151,42740,1935833,1978573,1978573,"17/10/2018","17/10/2023"
"CO","B","EH",847,"","",0,504,0,42740,0,42740,42740,"17/02/2024","17/02/2029"
"CO","B","EH",848,"","",0,504,0,42740,0,42740,42740,"/  /","/  /"
"CO","B","EH",849,"","",0,420,0,43543,0,43543,43543,"/  /","/  /"
"CO","B","EH",850,"","",0,420,0,35634,0,35634,35634,"/  /","/  /"
"CO","B","EH",851,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",852,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",853,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",854,"","",0,1344,0,114011,0,114011,114011,"/  /","/  /"
"CO","B","EH",855,"","",0,504,124,42740,843498,886238,886238,"04/07/2019","04/07/2024"
"CO","B","EH",856,"","",0,504,0,33258,0,33258,33258,"13/12/2004","13/12/2009"
"CO","B","EH",857,"","",0,504,0,52256,0,52256,52256,"20/07/2023","20/07/2028"
"CO","B","EH",858,"","",0,420,123,43543,1400528,1444071,1444071,"17/02/2008","17/02/2013"
"CO","B","EH",863,"","",0,420,173,43543,1113110,1156653,1156653,"15/03/2007","15/03/2012"
"CO","B","EH",864,"","",0,420,0,35634,0,35634,35634,"/  /","/  /"
"CO","B","EH",867,"","",0,504,0,38007,0,38007,38007,"/  /","/  /"
"CO","B","EH",868,"","",0,504,0,38007,0,38007,38007,"/  /","/  /"
"CO","B","EH",869,"","",0,420,0,43543,0,43543,43543,"/  /","/  /"
"CO","B","EH",870,"","",0,420,184,35634,2375592,2411226,2411226,"06/03/2007","06/03/2012"
"CO","B","EH",871,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",872,"","",0,600,205,45243,1605565,1650808,1650808,"24/04/2018","24/04/2023"
"CO","B","EH",873,"","",0,600,118,45243,1134830,1180073,1180073,"29/08/2007","29/08/2012"
"CO","B","EH",881,"","",0,573,0,59409,0,59409,59409,"/  /","/  /"
"CO","B","EH",882,"","",0,482,0,40890,0,40890,40890,"/  /","/  /"
"CO","B","EH",883,"","",0,445,0,37751,0,37751,37751,"/  /","/  /"
"CO","B","EH",884,"","",0,415,0,46942,0,46942,46942,"/  /","/  /"
"CO","B","EH",885,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",886,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",887,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",889,"","",0,504,137,38007,569914,607921,507108,"26/10/2023","26/10/2028"
"CO","B","EH",890,"","",0,504,0,38007,0,38007,38007,"/  /","/  /"
"CO","B","EH",891,"","",0,504,0,38007,0,38007,38007,"/  /","/  /"
"CO","B","EH",892,"","",0,420,0,31675,0,31675,31675,"/  /","/  /"
"CO","B","EH",893,"","",0,420,0,35634,0,35634,35634,"/  /","/  /"
"CO","B","EH",894,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",895,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",896,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",897,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",898,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",899,"","",0,600,0,45243,0,45243,45243,"/  /","/  /"
"CO","B","EH",900,"","",0,600,291,45243,2288157,2333400,2333400,"21/08/2012","21/08/2017"
"CO","B","EH",901,"","",0,572,0,48523,0,48523,48523,"/  /","/  /"
"CO","B","EH",902,"","",0,7700,0,508046,0,508046,508046,"/  /","/  /"
