"Código Régimen","Código Departamento","Código Localidad","Padrón","Block/Manzana","EP/SS","Unidad","Área predio","Área edificada","Valor catastral terreno","Valor catastral mejoras","Valor catastral total","Valor para impuestos","Fecha última DJCU","Vigencia última DJCU"
"CO","B","EH",2475,"","",0,392,324,199531,3433562,3633093,3633093,"11/06/2020","11/06/2025"
"CO","B","EH",2478,"","",0,1683,291,729821,1918478,2648299,2648299,"10/06/2020","10/06/2025"
"CO","B","EH",2481,"","",0,323,98,182664,895262,1077926,1077926,"/  /","/  /"
"CO","B","EH",2482,"","",0,368,0,204658,0,204658,204658,"/  /","/  /"
"CO","B","EH",2483,"","",0,340,90,173059,515029,688088,688088,"/  /","/  /"
"CO","B","EH",2484,"","",0,392,295,177354,4632538,4809892,4809892,"/  /","/  /"
"CO","B","EH",2487,"","",0,1003,375,453747,5308606,5762353,5762353,"27/11/2007","27/11/2012"
"CO","B","EH",10727,"","",0,267,283,139891,1877356,2017247,1918561,"15/12/2022","15/12/2027"
"CO","B","EH",10728,"","",0,267,76,118290,850407,968697,968697,"/  /","/  /"
"CO","B","EH",10729,"","",0,578,266,256073,1548841,1804914,1790484,"23/08/2022","23/08/2027"
"CO","B","EH",11625,"","",0,1037,46,478948,199532,678480,678480,"/  /","/  /"
"CO","B","EH",11626,"","",0,525,146,133607,1144294,1277901,1277901,"15/08/2007","15/08/2012"
"CO","B","EH",11627,"","",0,491,153,124961,719694,844655,844655,"24/05/2011","24/05/2016"
"CO","B","EH",11628,"","",0,412,0,104853,0,104853,104853,"/  /","/  /"
"CO","B","EH",11629,"","",0,422,66,107398,381753,489151,489151,"/  /","/  /"
"CO","B","EH",11630,"","",0,623,197,170301,816077,986378,986378,"19/05/2015","19/05/2020"
"CO","B","EH",11631,"","",0,796,382,157563,3123299,3280862,3280862,"17/08/2021","17/08/2026"
"CO","B","EH",11632,"","",0,4685,0,309132,0,309132,309132,"/  /","/  /"
"CO","B","EH",11633,"","",0,480,84,190031,566801,756832,756832,"/  /","/  /"
"CO","B","EH",11634,"","",0,2382,662,1189985,3423431,4613416,4613416,"10/10/2006","10/10/2011"
"CO","B","EH",11635,"","",0,450,100,152706,966370,1119076,1119076,"/  /","/  /"
"CO","B","EH",11639,"","",0,399,108,169246,521920,691166,1008105,"23/02/2024","23/02/2029"
"CO","B","EH",11640,"","",0,278,0,136266,0,136266,136266,"/  /","/  /"
"CO","B","EH",11641,"","",0,300,209,135731,1865269,2001000,2001000,"15/07/2019","15/07/2024"
"CO","B","EH",11642,"","",0,320,0,162881,0,162881,162881,"/  /","/  /"
"CO","B","EH",11933,"","",0,300,58,130080,315274,445354,445354,"/  /","/  /"
"CO","B","EH",11944,"","",0,600,0,62215,0,62215,62215,"/  /","/  /"
"CO","B","EH",11949,"","",0,261,36,78723,224603,303326,303326,"/  /","/  /"
"CO","B","EH",11950,"","",0,302,329,170793,4399963,4570756,4570756,"15/10/2020","15/10/2025"
"CO","B","EH",11959,"","",0,417,145,164686,839908,1004594,1004594,"14/09/2006","14/09/2011"
"CO","B","EH",11960,"","",0,416,124,164686,621868,786554,786554,"/  /","/  /"
"CO","B","EH",11980,"","",0,260,81,110286,711382,821668,821668,"/  /","/  /"
"CO","B","EH",11981,"","",0,278,141,117922,1228437,1346359,1346359,"26/06/2012","26/06/2017"
"CO","B","EH",11982,"","",0,346,0,150830,0,150830,150830,"/  /","/  /"
"CO","B","EH",12004,"","",0,237,154,94425,1682282,1776707,1776707,"16/12/2017","16/12/2022"
"CO","B","EH",12005,"","",0,209,54,133961,553476,687437,687437,"/  /","/  /"
"CO","B","EH",12007,"","",0,460,0,219205,0,219205,389154,"18/02/2024","18/02/2029"
"CO","B","EH",12017,"","",0,668,124,220380,720202,940582,940582,"/  /","/  /"
"CO","B","EH",12019,"","",0,525,239,133607,2195818,2329425,1775902,"05/12/2023","05/12/2028"
"CO","B","EH",12021,"","",0,444,0,121369,0,121369,121369,"/  /","/  /"
"CO","B","EH",12023,"","",0,431,185,186880,1290201,1477081,1477081,"27/11/2017","27/11/2022"
"CO","B","EH",12129,"","",0,398,100,198826,716449,915275,915275,"/  /","/  /"
"CO","B","EH",12131,"","",0,504,636,242290,7758795,8001085,8001085,"24/04/2007","24/04/2012"
"CO","B","EH",12156,"","",0,429,172,130390,2101987,2232377,2232377,"16/04/2009","16/04/2014"
"CO","B","EH",12157,"","",0,477,54,130390,364365,494755,494755,"/  /","/  /"
"CO","B","EH",12158,"","",0,503,119,156463,1127755,1284218,1284218,"27/11/2020","27/11/2025"
"CO","B","EH",12159,"","",0,438,89,111472,309822,421294,419365,"22/02/2023","22/02/2028"
"CO","B","EH",13958,"","",0,578,300,256073,2671199,2927272,6274868,"14/01/2024","14/01/2029"
"CO","B","EH",13959,"","",0,442,398,176905,4345201,4522106,4566579,"06/09/2022","06/09/2027"
"CO","B","EH",14984,"","",0,1342,0,645124,0,645124,645124,"/  /","/  /"
"CO","B","EH",14986,"","",0,346,0,195679,0,195679,195679,"/  /","/  /"
"CO","B","EH",14987,"","",0,320,118,162881,877462,1040343,1040343,"04/04/2008","04/04/2013"
"CO","B","EH",14988,"","",0,641,118,325754,877462,1203216,1203216,"04/04/2008","04/04/2013"
"CO","B","EH",14993,"","",0,504,0,42740,0,42740,42740,"/  /","/  /"
"CO","B","EH",14999,"","",0,600,271,67867,2822167,2890034,2890034,"19/04/2013","19/04/2018"
"CO","B","EH",15000,"","",0,600,0,67867,0,67867,67867,"15/07/2004","15/07/2009"
"CO","B","EH",15001,"","",0,524,0,64202,0,64202,64202,"21/04/2018","21/04/2023"
"CO","B","EH",15008,"","",0,302,129,76859,696648,773507,707932,"06/09/2022","06/09/2027"
"CO","B","EH",15009,"","",0,1975,526,1061112,8260063,9321175,9321175,"/  /","/  /"
"CO","B","EH",15013,"","",0,504,125,109260,1188796,1298056,1271376,"03/09/2023","03/09/2028"
"CO","B","EH",15014,"","",0,504,0,109260,0,109260,109260,"/  /","/  /"
"CO","B","EH",15031,"","",0,321,67,127089,452087,579176,579176,"/  /","/  /"
"CO","B","EH",15035,"","",0,1106,167,594226,2053917,2648143,2648143,"/  /","/  /"
"CO","B","EH",15040,"","",0,406,0,99495,0,99495,99495,"/  /","/  /"
"CO","B","EH",15041,"","",0,729,189,185532,2151857,2337389,2337389,"08/03/2004","08/03/2009"
"CO","B","EH",15042,"","",0,312,184,67637,1840615,1908252,1800129,"03/06/2023","03/06/2028"
"CO","B","EH",15043,"","",0,1200,0,147041,0,147041,147041,"/  /","/  /"
"CO","B","EH",15046,"","",0,306,0,57689,0,57689,57689,"05/12/2016","05/12/2021"
"CO","B","EH",15050,"","",0,1400,0,263915,0,263915,263915,"/  /","/  /"
"CO","B","EH",15052,"","",0,306,160,56177,1036488,1092665,1597981,"13/12/2022","13/12/2027"
"CO","B","EH",15053,"","",0,312,0,58823,0,58823,58823,"/  /","/  /"
"CO","B","EH",15054,"","",0,360,124,81440,1417554,1498994,1498994,"12/12/2006","12/12/2011"
"CO","B","EH",15055,"","",0,306,75,92296,790012,882308,882308,"/  /","/  /"
"CO","B","EH",15056,"","",0,312,0,79398,0,79398,79398,"/  /","/  /"
"CO","B","EH",15057,"","",0,312,0,79398,0,79398,79398,"/  /","/  /"
"CO","B","EH",15058,"","",0,618,119,186407,1437482,1623889,1623889,"/  /","/  /"
"CO","B","EH",15060,"","",0,360,196,91618,1883119,1974737,2062275,"11/11/2022","11/11/2027"
"CO","B","EH",15061,"","",0,360,0,91618,0,91618,91618,"/  /","/  /"
"CO","B","EH",15062,"","",0,360,159,91618,2002007,2093625,2093625,"06/12/2006","06/12/2011"
"CO","B","EH",15063,"","",0,360,0,91618,0,91618,91618,"/  /","/  /"
"CO","B","EH",15065,"","",0,618,126,174757,1232113,1406870,1406870,"/  /","/  /"
"CO","B","EH",15071,"","",0,720,232,183230,2373326,2556556,2556556,"29/09/2015","29/09/2020"
"CO","B","EH",15074,"","",0,360,122,81440,1473160,1554600,1554600,"27/08/2009","27/08/2014"
"CO","B","EH",15075,"","",0,379,0,71445,0,71445,71445,"21/05/2023","21/05/2028"
"CO","B","EH",15077,"","",0,719,114,115212,1581919,1697131,1697131,"14/08/2019","14/08/2024"
"CO","B","EH",15078,"","",0,360,0,67867,0,67867,67867,"10/09/2022","10/09/2027"
"CO","B","EH",15079,"","",0,306,108,34613,1183372,1217985,1217985,"08/07/2022","08/07/2027"
"CO","B","EH",15080,"","",0,360,123,91618,1180009,1271627,1271627,"27/01/2022","27/01/2027"
"CO","B","EH",15086,"","",0,1000,0,348756,0,348756,348756,"/  /","/  /"
"CO","B","EH",15089,"","",0,312,82,77738,1170471,1248209,1248209,"/  /","/  /"
"CO","B","EH",15094,"","",0,306,0,77880,0,77880,77880,"/  /","/  /"
"CO","B","EH",15095,"","",0,624,228,141159,1174720,1315879,1315879,"18/08/2008","18/08/2013"
"CO","B","EH",15096,"","",0,360,120,67867,680437,748304,748304,"11/06/2004","11/06/2009"
"CO","B","EH",15097,"","",0,360,189,67867,1560618,1628485,1628485,"14/04/2018","14/04/2023"
"CO","B","EH",15099,"","",0,553,217,140747,1305735,1446482,1434464,"21/11/2022","21/11/2027"
"CO","B","EH",16001,"","",0,360,170,91618,1331580,1423198,1423198,"11/06/2019","11/06/2024"
"CO","B","EH",16002,"","",0,360,0,91618,0,91618,91618,"/  /","/  /"
"CO","B","EH",16003,"","",0,373,140,94925,1279943,1374868,1374868,"13/03/2013","13/03/2018"
"CO","B","EH",16004,"","",0,379,143,96452,876156,972608,972608,"13/01/2011","13/01/2016"
"CO","B","EH",16008,"","",0,720,132,162881,2072864,2235745,2235745,"/  /","/  /"
"CO","B","EH",16010,"","",0,618,145,157284,1049528,1206812,1206812,"26/05/2008","26/05/2013"
"CO","B","EH",16013,"","",0,360,190,81440,2724881,2806321,2803729,"11/01/2023","11/01/2028"
"CO","B","EH",16016,"","",0,373,0,80871,0,80871,80871,"28/04/2004","28/04/2009"
"CO","B","EH",16017,"","",0,379,109,71445,965704,1037149,457725,"02/05/2023","02/05/2028"
"CO","B","EH",16018,"","",0,379,0,71445,0,71445,71445,"/  /","/  /"
"CO","B","EH",16019,"","",0,373,0,94925,0,94925,94925,"/  /","/  /"
"CO","B","EH",16022,"","",0,360,0,91618,0,91618,91618,"/  /","/  /"
"CO","B","EH",16029,"","",0,390,0,73523,0,73523,73523,"/  /","/  /"
"CO","B","EH",16030,"","",0,360,0,81440,0,81440,81440,"/  /","/  /"
"CO","B","EH",16033,"","",0,360,174,91618,1767102,1858720,1858720,"24/05/2018","24/05/2023"
"CO","B","EH",16034,"","",0,267,135,67947,935285,1003232,1003232,"01/07/2013","01/07/2018"
"CO","B","EH",16035,"","",0,800,644,263915,6594723,6858638,5219644,"23/03/2023","23/03/2028"
"CO","B","EH",16038,"","",0,360,147,81440,1548146,1629586,1621867,"23/08/2022","23/08/2027"
"CO","B","EH",16041,"","",0,437,157,135927,1858092,1994019,1994019,"20/03/2017","20/03/2022"
"CO","B","EH",16042,"","",0,618,256,157284,1646353,1803637,1765108,"06/06/2022","06/06/2027"
"CO","B","EH",16043,"","",0,774,242,196983,1832011,2028994,1949998,"14/02/2022","14/02/2027"
"CO","B","EH",16044,"","",0,720,149,162881,2302138,2465019,2465019,"/  /","/  /"
"CO","B","EH",16046,"","",0,377,0,170567,0,170567,170567,"/  /","/  /"
"CO","B","EH",16047,"","",0,354,0,160165,0,160165,160165,"/  /","/  /"
"CO","B","EH",16048,"","",0,549,0,263911,0,263911,263911,"/  /","/  /"
"CO","B","EH",16049,"","",0,319,0,150349,0,150349,150349,"/  /","/  /"
"CO","B","EH",16050,"","",0,351,0,165439,0,165439,165439,"/  /","/  /"
"CO","B","EH",16051,"","",0,297,0,139975,0,139975,139975,"/  /","/  /"
"CO","B","EH",16052,"","",0,272,0,123056,0,123056,123056,"/  /","/  /"
"CO","B","EH",16053,"","",0,1290,375,291821,3696712,3988533,3786972,"13/01/2022","13/01/2027"
"CO","B","EH",16054,"","",0,2268,528,513066,4829414,5342480,5342480,"17/02/2015","17/02/2020"
"CO","B","EH",16057,"","",0,1200,213,192287,807355,999642,999642,"23/03/2010","23/03/2015"
"CO","B","EH",16061,"","",0,360,0,81440,1696820,1778260,1778260,"/  /","/  /"
"CO","B","EH",16062,"","",0,800,0,143268,0,143268,143268,"/  /","/  /"
"CO","B","EH",16063,"","",0,462,95,43543,963859,1007402,1007402,"20/04/2007","20/04/2012"
"CO","B","EH",16064,"","",0,312,104,29404,1248762,1278166,1278166,"09/07/2013","09/07/2018"
"CO","B","EH",16065,"","",0,360,131,43433,1695993,1739426,1739426,"/  /","/  /"
"CO","B","EH",16066,"","",0,459,0,34613,0,34613,34613,"/  /","/  /"
"CO","B","EH",16067,"","",0,373,218,70321,2381147,2451468,1570025,"06/09/2023","06/09/2028"
"CO","B","EH",16068,"","",0,360,163,67867,1269743,1337610,1337610,"17/05/2016","17/05/2021"
"CO","B","EH",16071,"","",0,360,0,30548,0,30548,30548,"/  /","/  /"
"CO","B","EH",16072,"","",0,384,124,36191,976503,1012694,1012694,"29/05/2008","29/05/2013"
"CO","B","EH",16073,"","",0,566,159,53350,1347403,1400753,1400753,"23/03/2011","23/03/2016"
"CO","B","EH",16074,"","",0,360,0,33933,0,33933,33933,"27/09/2023","27/09/2028"
"CO","B","EH",16075,"","",0,360,47,33933,277331,311264,144865,"03/10/2023","03/10/2028"
"CO","B","EH",16077,"","",0,306,0,69220,0,69220,69220,"/  /","/  /"
"CO","B","EH",16078,"","",0,360,0,67867,0,67867,67867,"15/02/2023","15/02/2028"
"CO","B","EH",16079,"","",0,312,121,38237,676013,714250,714250,"12/04/2005","12/04/2010"
"CO","B","EH",16081,"","",0,500,144,216792,1649629,1866421,1866421,"14/12/2006","14/12/2011"
"CO","B","EH",16082,"","",0,400,0,237531,0,237531,237531,"19/11/2010","19/11/2015"
"CO","B","EH",16085,"","",0,978,100,156722,1348280,1505002,1505002,"/  /","/  /"
"CO","B","EH",16086,"","",0,312,139,70583,1593344,1663927,1663927,"16/09/2008","16/09/2013"
"CO","B","EH",16087,"","",0,420,183,43543,1481982,1525525,1525525,"16/08/2016","16/08/2021"
"CO","B","EH",16088,"","",0,420,0,43543,0,43543,43543,"/  /","/  /"
"CO","B","EH",16090,"","",0,504,142,57008,2229897,2286905,2286905,"/  /","/  /"
"CO","B","EH",16109,"","",0,618,220,139807,1519029,1658836,1734592,"19/11/2022","19/11/2027"
"CO","B","EH",16113,"","",0,360,76,67867,1024687,1092554,1092554,"/  /","/  /"
"CO","B","EH",16114,"","",0,360,94,57689,1488017,1545706,1545706,"18/12/2007","18/12/2012"
"CO","B","EH",16115,"","",0,600,0,96139,1865364,1961503,1961503,"/  /","/  /"
"CO","B","EH",16118,"","",0,360,145,67867,1381057,1448924,1448924,"23/04/2012","23/04/2017"
"CO","B","EH",16121,"","",0,1096,442,134312,2975298,3109610,3109610,"27/05/2019","27/05/2024"
"CO","B","EH",16122,"","",0,600,0,152706,0,152706,152706,"/  /","/  /"
"CO","B","EH",16123,"","",0,306,0,77880,0,77880,77880,"/  /","/  /"
"CO","B","EH",16124,"","",0,360,0,81440,0,81440,81440,"/  /","/  /"
"CO","B","EH",16128,"","",0,306,191,77880,651545,729425,729425,"02/05/2016","02/05/2021"
"CO","B","EH",16129,"","",0,312,0,70583,0,70583,70583,"/  /","/  /"
"CO","B","EH",16130,"","",0,306,0,77880,0,77880,77880,"/  /","/  /"
"CO","B","EH",16132,"","",0,312,103,70583,1461678,1532261,1532261,"14/09/2012","14/09/2017"
"CO","B","EH",16133,"","",0,306,0,84843,0,84843,84843,"17/11/2020","17/11/2025"
"CO","B","EH",16135,"","",0,5272,0,993866,0,993866,993866,"07/07/2008","07/07/2013"
"CO","B","EH",16136,"","",0,1588,0,149683,0,149683,149683,"/  /","/  /"
"CO","B","EH",16137,"","",0,420,0,47503,0,47503,47503,"/  /","/  /"
"CO","B","EH",16138,"","",0,504,113,33258,905836,939094,939094,"05/01/2005","05/01/2010"
"CO","B","EH",16139,"","",0,420,138,43543,1639531,1683074,1683074,"13/12/2005","13/12/2010"
"CO","B","EH",16140,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",16141,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",16142,"","",0,572,0,48523,0,48523,48523,"/  /","/  /"
"CO","B","EH",16144,"","",0,430,272,133760,1314155,1447915,1447915,"13/12/2017","13/12/2022"
"CO","B","EH",16145,"","",0,442,0,137491,0,137491,137491,"/  /","/  /"
"CO","B","EH",16146,"","",0,1290,382,279675,4077532,4357207,4357207,"12/11/2012","12/11/2017"
"CO","B","EH",16147,"","",0,720,145,162881,695326,858207,858207,"03/03/2018","03/03/2023"
"CO","B","EH",16148,"","",0,360,0,81440,0,81440,81440,"06/06/2022","06/06/2027"
"CO","B","EH",16150,"","",0,332,201,81360,1916335,1997695,1816588,"22/04/2021","22/04/2026"
"CO","B","EH",16166,"","",0,624,0,152927,0,152927,152927,"09/05/2016","09/05/2021"
"CO","B","EH",16176,"","",0,504,194,66510,2010455,2076965,2076965,"/  /","/  /"
"CO","B","EH",16180,"","",0,922,375,234651,4570942,4805593,4805593,"24/06/2008","24/06/2013"
"CO","B","EH",16187,"","",0,373,146,70321,1237307,1307628,1307628,"30/06/2016","30/06/2021"
"CO","B","EH",16188,"","",0,643,221,200014,1342120,1542134,1542134,"28/01/2010","28/01/2015"
"CO","B","EH",16191,"","",0,379,190,85739,1430018,1515757,1515757,"19/06/2012","19/06/2017"
"CO","B","EH",16192,"","",0,373,152,94925,2998176,3093101,3093101,"/  /","/  /"
"CO","B","EH",16193,"","",0,360,150,81440,2091310,2172750,2172750,"06/10/2011","06/10/2016"
"CO","B","EH",16194,"","",0,624,0,141159,0,141159,141159,"/  /","/  /"
"CO","B","EH",16195,"","",0,360,163,81440,1302410,1383850,1429099,"06/10/2022","06/10/2027"
"CO","B","EH",16197,"","",0,379,0,85739,0,85739,85739,"/  /","/  /"
"CO","B","EH",16198,"","",0,312,177,70583,1989109,2059692,2059692,"03/10/2017","03/10/2022"
"CO","B","EH",16199,"","",0,360,184,81786,1750369,1832155,2355092,"05/10/2023","05/10/2028"
"CO","B","EH",16211,"","",0,840,310,263960,2163657,2427617,2427617,"18/12/2013","18/12/2018"
"CO","B","EH",16212,"","",0,403,200,123712,2271261,2394973,2394973,"16/08/2019","16/08/2024"
"CO","B","EH",16215,"","",0,403,224,123712,1680288,1804000,1804000,"07/10/2020","07/10/2025"
"CO","B","EH",16216,"","",0,403,0,125355,0,125355,125355,"/  /","/  /"
"CO","B","EH",16217,"","",0,403,244,125355,2736432,2861787,1767214,"03/11/2022","03/11/2027"
"CO","B","EH",16218,"","",0,403,0,125355,0,125355,125355,"/  /","/  /"
"CO","B","EH",16221,"","",0,324,150,79398,1293842,1373240,1373240,"13/08/2020","13/08/2025"
"CO","B","EH",16222,"","",0,372,0,94671,0,94671,94671,"26/01/2022","26/01/2027"
"CO","B","EH",16223,"","",0,312,0,58823,0,58823,58823,"/  /","/  /"
"CO","B","EH",16236,"","",0,752,278,141766,2082963,2224729,2224729,"17/10/2016","17/10/2021"
"CO","B","EH",16240,"","",0,360,0,81440,0,81440,81440,"/  /","/  /"
"CO","B","EH",16241,"","",0,403,251,125355,1873880,1999235,1999235,"20/05/2019","20/05/2024"
"CO","B","EH",16242,"","",0,1116,471,241944,4284848,4526792,4553351,"29/02/2024","28/02/2029"
"CO","B","EH",16247,"","",0,372,180,94671,2020403,2115074,2115074,"13/08/2018","13/08/2023"
"CO","B","EH",16253,"","",0,312,182,79398,2377710,2457108,1506022,"24/03/2022","24/03/2027"
"CO","B","EH",16254,"","",0,312,0,79398,0,79398,79398,"23/11/2020","23/11/2025"
"CO","B","EH",16255,"","",0,332,238,97008,1764057,1861065,1861065,"23/08/2013","23/08/2018"
"CO","B","EH",16256,"","",0,372,158,94671,2400961,2495632,2495632,"13/06/2018","13/06/2023"
"CO","B","EH",16257,"","",0,372,0,94671,0,94671,94671,"25/02/2021","25/02/2026"
"CO","B","EH",16266,"","",0,382,0,82820,0,82820,82820,"23/11/2022","23/11/2027"
"CO","B","EH",16273,"","",0,733,0,145091,0,145091,145091,"/  /","/  /"
"CO","B","EH",16276,"","",0,468,226,101460,1553763,1655223,1652032,"12/01/2021","12/01/2026"
"CO","B","EH",16278,"","",0,1631,269,292095,5195452,5487547,5487547,"/  /","/  /"
"CO","B","EH",16279,"","",0,1554,0,278304,0,278304,278304,"/  /","/  /"
"CO","B","EH",16280,"","",0,1065,0,230888,0,230888,230888,"/  /","/  /"
"CO","B","EH",16281,"","",0,1459,279,247551,5729383,5976934,5976934,"/  /","/  /"
"CO","B","EH",16282,"","",0,1402,0,237871,0,237871,237871,"/  /","/  /"
"CO","B","EH",16283,"","",0,1142,0,226057,0,226057,226057,"/  /","/  /"
"CO","B","EH",16284,"","",0,360,140,81440,1437092,1518532,1518532,"16/07/2006","16/07/2011"
"CO","B","EH",16285,"","",0,600,166,50894,1287701,1338595,1338595,"17/10/2007","17/10/2012"
"CO","B","EH",16286,"","",0,600,0,50894,0,50894,50894,"/  /","/  /"
"CO","B","EH",16288,"","",0,379,122,82158,1486452,1568610,1568610,"30/05/2012","30/05/2017"
"CO","B","EH",16289,"","",0,360,0,57689,0,57689,57689,"09/03/2022","09/03/2027"
"CO","B","EH",16291,"","",0,332,0,103269,0,103269,103269,"24/11/2023","24/11/2028"
"CO","B","EH",16292,"","",0,312,0,97040,0,97040,97040,"24/11/2023","24/11/2028"
"CO","B","EH",16293,"","",0,720,0,115367,0,115367,115367,"/  /","/  /"
"CO","B","EH",16299,"","",0,753,157,177442,1896503,2073945,2073945,"/  /","/  /"
"CO","B","EH",16300,"","",0,1011,415,123889,4362907,4486796,4486796,"01/03/2019","01/03/2024"
"CO","B","EH",16304,"","",0,360,151,57689,1935892,1993581,1993581,"04/10/2012","04/10/2017"
"CO","B","EH",16305,"","",0,1290,0,206714,0,206714,206714,"/  /","/  /"
"CO","B","EH",16311,"","",0,618,166,116501,2606781,2723282,2723282,"/  /","/  /"
"CO","B","EH",16313,"","",0,360,184,57689,1255521,1313210,1313210,"16/03/2017","16/03/2022"
"CO","B","EH",16314,"","",0,666,188,150659,1303757,1454416,1454416,"12/11/2009","12/11/2014"
"CO","B","EH",16319,"","",0,306,0,57689,0,57689,57689,"/  /","/  /"
"CO","B","EH",16320,"","",0,373,137,59773,1259536,1319309,1281662,"26/07/2022","26/07/2027"
"CO","B","EH",16322,"","",0,312,0,49986,0,49986,49986,"/  /","/  /"
"CO","B","EH",16323,"","",0,360,0,57689,0,57689,57689,"/  /","/  /"
"CO","B","EH",16324,"","",0,360,181,57689,2124686,2182375,2183774,"21/12/2022","21/12/2027"
"CO","B","EH",16325,"","",0,360,0,57689,0,57689,57689,"/  /","/  /"
"CO","B","EH",16327,"","",0,360,0,57689,0,57689,57689,"26/01/2022","26/01/2027"
"CO","B","EH",16328,"","",0,360,148,57689,1614433,1672122,1672122,"26/01/2022","26/01/2027"
"CO","B","EH",16329,"","",0,600,244,62215,2669414,2731629,2731629,"16/04/2012","16/04/2017"
"CO","B","EH",16335,"","",0,720,150,114011,2355327,2469338,2469338,"/  /","/  /"
"CO","B","EH",16337,"","",0,360,143,57689,2245618,2303307,2303307,"/  /","/  /"
"CO","B","EH",16338,"","",0,759,252,121615,2109307,2230922,1979166,"06/02/2024","06/02/2029"
"CO","B","EH",16346,"","",0,546,178,77205,1972173,2049378,2049378,"30/01/2008","30/01/2013"
"CO","B","EH",16349,"","",0,978,0,82962,0,82962,82962,"/  /","/  /"
"CO","B","EH",16350,"","",0,306,0,49038,0,49038,49038,"/  /","/  /"
"CO","B","EH",16351,"","",0,312,0,49986,0,49986,49986,"/  /","/  /"
"CO","B","EH",16352,"","",0,360,0,57689,0,57689,57689,"/  /","/  /"
"CO","B","EH",16355,"","",0,546,0,66909,0,66909,66909,"/  /","/  /"
"CO","B","EH",16356,"","",0,312,97,85281,627206,712487,712487,"/  /","/  /"
"CO","B","EH",16357,"","",0,420,216,43543,1241664,1285207,1285207,"14/07/2016","14/07/2021"
"CO","B","EH",16358,"","",0,600,0,62215,0,62215,62215,"01/02/2024","01/02/2029"
"CO","B","EH",16359,"","",0,573,0,113421,0,113421,113421,"09/06/2015","09/06/2020"
"CO","B","EH",16367,"","",0,360,0,57689,0,57689,57689,"18/04/2020","18/04/2025"
"CO","B","EH",16368,"","",0,360,0,57689,0,57689,57689,"18/04/2020","18/04/2025"
"CO","B","EH",16369,"","",0,360,128,57689,2010055,2067744,2067744,"/  /","/  /"
"CO","B","EH",16370,"","",0,360,0,57689,0,57689,57689,"/  /","/  /"
"CO","B","EH",16372,"","",0,312,0,49986,0,49986,49986,"21/06/2011","21/06/2016"
"CO","B","EH",16373,"","",0,306,145,49038,1233316,1282354,1282354,"05/08/2004","05/08/2009"
"CO","B","EH",16374,"","",0,306,176,54800,1387658,1442458,1442458,"04/09/2007","04/09/2012"
"CO","B","EH",16375,"","",0,312,0,49986,0,49986,49986,"/  /","/  /"
"CO","B","EH",16376,"","",0,312,134,49986,2103561,2153547,1926504,"02/09/2021","02/09/2026"
"CO","B","EH",16377,"","",0,306,144,65755,2260833,2326588,2326588,"/  /","/  /"
"CO","B","EH",16378,"","",0,312,0,58823,0,58823,58823,"/  /","/  /"
"CO","B","EH",16381,"","",0,332,18,81360,146118,227478,139806,"03/06/2023","03/06/2028"
"CO","B","EH",16382,"","",0,360,103,68518,776575,845093,1162468,"18/10/2022","18/10/2027"
"CO","B","EH",16383,"","",0,360,96,67867,613813,681680,681680,"25/07/2022","25/07/2027"
"CO","B","EH",16384,"","",0,360,90,67867,962819,1030686,1032708,"14/07/2022","14/07/2027"
"CO","B","EH",16385,"","",0,360,148,67867,2076133,2144000,2144000,"14/08/2019","14/08/2024"
"CO","B","EH",16386,"","",0,562,0,105952,0,105952,105952,"/  /","/  /"
"CO","B","EH",16387,"","",0,360,95,81440,887314,968754,968754,"26/11/2004","26/11/2009"
"CO","B","EH",16389,"","",0,360,188,57467,2038589,2096056,2446062,"27/12/2023","27/12/2028"
"CO","B","EH",16390,"","",0,360,0,57689,0,57689,57689,"/  /","/  /"
"CO","B","EH",16402,"","",0,360,105,67867,691512,759379,759379,"25/03/2004","25/03/2009"
"CO","B","EH",16403,"","",0,577,0,38065,0,38065,38065,"/  /","/  /"
"CO","B","EH",16404,"","",0,471,0,31075,0,31075,31075,"/  /","/  /"
"CO","B","EH",16407,"","",0,420,176,47503,1344416,1391919,1391919,"02/05/2019","02/05/2024"
"CO","B","EH",16408,"","",0,360,0,67867,1219200,1287067,1287067,"/  /","/  /"
"CO","B","EH",16410,"","",0,360,0,81440,2356759,2438199,2438199,"/  /","/  /"
"CO","B","EH",16411,"","",0,360,162,81440,1817931,1899371,1899371,"04/04/2008","04/04/2013"
"CO","B","EH",16413,"","",0,330,0,52881,0,52881,52881,"29/07/2021","29/07/2026"
"CO","B","EH",16414,"","",0,335,0,53684,0,53684,53684,"29/07/2021","29/07/2026"
"CO","B","EH",16415,"","",0,359,0,57520,0,57520,57520,"/  /","/  /"
"CO","B","EH",16416,"","",0,330,0,52881,0,52881,52881,"/  /","/  /"
"CO","B","EH",16419,"","",0,312,78,70583,1161965,1232548,1232548,"12/02/2020","12/02/2025"
"CO","B","EH",16420,"","",0,360,185,81440,1959102,2040542,2040542,"04/09/2015","04/09/2020"
"CO","B","EH",16421,"","",0,360,222,81440,2187253,2268693,2268693,"19/09/2014","19/09/2019"
"CO","B","EH",16422,"","",0,360,192,81440,1858664,1940104,1940104,"30/10/2017","30/10/2022"
