"C贸digo r茅gimen","C贸digo departamento","C贸digo localidad","Padr贸n","Bloc / Manzana","EP / SS","Unidad","Nivel","Area construida","A帽o de construcci贸n","A帽o remanente","EP/SS uso exclusivo","Unidad uso explusivo","Destinos","Categor铆a de construcci贸n","Estado conservaci贸n","Tipo de cubierta","Indicador cielorraso","Tipo de obra"
"CO","B","EH",482,"","",0,0,119,2000,0,NA,0,"VIVIENDA","Muy confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",482,"","",0,0,13,2002,0,NA,0,"VIVIENDA","Muy confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",482,"","",0,0,40,2000,0,NA,0,"VIVIENDA","Muy confortable","Excelente","Losa o bovedilla",NA,"Original"
"CO","B","EH",20,"","",0,0,219,0,0,NA,0,"VIVIENDA","Muy confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",42,"","",0,0,150,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",44,"","",0,0,78,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",44,"","",0,0,20,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",44,"","",0,0,14,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",54,"","",0,0,60,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",54,"","",0,0,22,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",56,"","",0,0,54,0,0,NA,0,"VIVIENDA","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",56,"","",0,0,65,0,0,NA,0,"DEPOSITO","Comun",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",79,"","",0,0,46,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",79,"","",0,0,15,0,0,NA,0,"DEPOSITO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",79,"","",0,0,14,0,0,NA,0,"VIVIENDA","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",80,"","",0,0,153,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",84,"","",0,0,108,0,0,NA,0,"COMERCIO","Economica",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",91,"","",0,0,197,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",118,"","",0,0,173,0,0,NA,0,"VIVIENDA","Confortable",NA,"Losa o bovedilla",NA,"Original"
"CO","B","EH",130,"","",0,0,380,0,0,NA,0,"VIVIENDA","Muy confortable",NA,"Losa o bovedilla",NA,"Original"
